Date,Description,Amount,Paid By,Participants
2025-02-08,Flat maintenance,15000,Arnav,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-09,Cleaning supplies,1200,Aarav,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-10,New router purchase,4500,Vihaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-11,Office lunch,3200,Aditya,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-12,Client meeting coffee,850,Ishaan,"Ishaan,Arjun,Sai,Aryan,Rohan,Krish"
2025-02-13,Taxi for client,650,Arjun,"Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh"
2025-02-14,Valentine's day team dinner,7500,Sai,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-15,Weekend brunch,4200,Aryan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh"
2025-02-16,Supermarket run,3800,Rohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-17,Petrol for bike,800,Krish,"Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush"
2025-02-18,Bike servicing,2400,Nivaan,"Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-19,Car wash,600,Reyansh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-20,Team building activity,12000,Dev,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-21,Laser tag gaming,4800,Ayaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush"
2025-02-22,Bowling night,3600,Arnav,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-23,Drinks after work,2800,Vihaan,"Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-24,Project celebration dinner,8500,Kabir,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-25,Office supplies,2200,Darsh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-26,Printer cartridges,1800,Mohan,"Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-27,Stationery items,950,Rohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-02-28,Month-end team lunch,5200,Kunal,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-01,Birthday gift for colleague,3500,Piyush,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-02,Cake and snacks,1600,Rajesh,"Rajesh,Suresh,Vikram,Anil,Kunal,Piyush"
2025-03-03,Holi celebration supplies,4200,Suresh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-04,Colors and sweets,1800,Vikram,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-05,Holi lunch,6500,Anil,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-06,After-Holi cleanup,2500,Aarav,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-07,New coffee machine,8500,Vihaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-08,Coffee beans restock,1200,Aditya,"Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-09,Milk and sugar for office,800,Ishaan,"Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-10,Team outing to amusement park,15000,Arjun,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-11,Park entry tickets,7500,Sai,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-12,Rides and games,4200,Aryan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-13,Food at park,5800,Rohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-14,Transport to park,3200,Krish,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-15,Souvenirs and photos,2400,Nivaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-16,Weekend movie tickets,4800,Reyansh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-17,Popcorn and drinks,2800,Dev,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-18,Dinner after movie,6200,Ayaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-19,Late night snacks,1500,Arnav,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-20,Cab ride home,1200,Vihaan,"Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-21,Office furniture repair,4500,Kabir,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-22,AC servicing,6500,Darsh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-23,Pest control,3800,Mohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-24,Plumbing work,2800,Rohan,"Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-25,Electrical repairs,3200,Kunal,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-26,New LED bulbs,1200,Piyush,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-27,Pantry restock,8500,Rajesh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-28,Tea and coffee supplies,1800,Suresh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-29,Biscuits and snacks,2200,Vikram,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-30,Fruits for week,3200,Anil,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-03-31,Month-end celebration,9500,Aarav,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-01,New quarter planning lunch,7500,Vihaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-02,Project kickoff dinner,8500,Aditya,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-03,Client welcome drinks,4200,Ishaan,"Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-04,Business lunch with client,12500,Arjun,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-05,Client gift,6500,Sai,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-06,Airport drop for client,1800,Aryan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-07,Team debrief dinner,6800,Rohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-08,Success celebration cake,2200,Krish,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-09,Champagne for celebration,4800,Nivaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-10,Friday drinks,3800,Reyansh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-11,Weekend getaway planning,2500,Dev,"Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-12,Resort booking advance,25000,Ayaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-13,Travel arrangements,8500,Arnav,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-14,Adventure activities package,12000,Vihaan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-15,Trekking gear rental,4500,Kabir,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-16,Breakfast supplies,1800,Darsh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-17,Lunch at resort,7500,Mohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-18,Dinner barbecue,8500,Rohan,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-19,Campfire snacks,2200,Kunal,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-20,Photography session,3500,Piyush,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-21,Return journey fuel,5200,Rajesh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-22,Dinner on way back,4800,Suresh,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-23,Office deep cleaning,5500,Vikram,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-24,New plants for office,2800,Anil,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
2025-04-25,Whiteboard markers,450,Aarav,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Aryan,Rohan,Krish,Nivaan,Reyansh,Dev,Ayaan,Arnav,Vihaan,Kabir,Darsh,Mohan,Rohan,Kunal,Piyush,Rajesh,Suresh,Vikram,Anil"
